# Ref     Val                           Package                                   PosX       PosY       Rot  Side
BUF1      BUF634                        SO-8_3.9x4.9mm_P1.27mm                 36.4000    72.1000    0.0000  top
BUF2      BUF634                        SO-8_3.9x4.9mm_P1.27mm                 73.0000    38.9500   90.0000  top
C1        1n                            C_0805_2012Metric                      26.7500    56.2000  -90.0000  top
C3        100n                          C_0805_2012Metric                      74.0500    20.5000  180.0000  top
C4        22u                           CP_Radial_D5.0mm_P2.00mm               25.0000    15.5000    0.0000  top
C5        100n                          C_0805_2012Metric                      20.4500    17.4500  -90.0000  top
C6        22u                           CP_Radial_D5.0mm_P2.00mm               32.0000    15.5000    0.0000  top
C7        CP                            CP_Radial_D8.0mm_P5.00mm               71.1527    16.0000  180.0000  top
C8        100n                          C_0805_2012Metric                      60.5000    10.9500  -90.0000  top
C9        CP                            CP_Radial_D8.0mm_P5.00mm               66.0973     4.2500    0.0000  top
C10       100n                          C_0805_2012Metric                      60.5000     4.5500   90.0000  top
C14       100n                          C_0805_2012Metric                      30.9500    70.1000  180.0000  top
C15       1n                            C_0805_2012Metric                      17.0000    83.2000   90.0000  top
C16       10n                           C_0805_2012Metric                      19.5000    83.2000   90.0000  top
C17       100n                          C_0805_2012Metric                      46.0000    36.5000  180.0000  top
C18       100n                          C_0805_2012Metric                      76.3650    33.9750  -90.0000  top
C19       100n                          C_0805_2012Metric                      39.9500    68.4000    0.0000  top
C22       100n                          C_0805_2012Metric                      71.5000    44.5000   90.0000  top
C23       100n                          C_0805_2012Metric                      67.3000    61.5000  180.0000  top
C24       100n                          C_0805_2012Metric                      41.4000    74.9500   90.0000  top
C25       10n                           C_0805_2012Metric                      24.2500    56.2500  -90.0000  top
D1        D                             D_SMA                                  26.5000    23.0000  180.0000  top
D2        D_TVS                         D_SMA                                  15.4500    15.9500  -90.0000  top
D3        LED                           LED_1206_3216Metric                     9.1000    13.5000    0.0000  top
D4        LED                           LED_1206_3216Metric                    38.0000    25.5000   90.0000  top
D5        LED                           LED_1206_3216Metric                    35.0000    25.5000  -90.0000  top
FB1       Ferrite_Bead                  R_0805_2012Metric                      19.4125    23.0000  180.0000  top
J1        Conn_Coaxial                  BNC_TEConnectivity_1478204_Vertical     8.0000    74.5000    0.0000  top
J2        Conn_Coaxial                  BNC_TEConnectivity_1478204_Vertical     8.1750    56.3750    0.0000  top
J3        Conn_Coaxial                  BNC_TEConnectivity_1478204_Vertical     8.0000    38.0000    0.0000  top
