Comment,Designator,Footprint,Mouser PN
BUF634,"BUF1,BUF2",Package_SO:SO-8_3.9x4.9mm_P1.27mm,595-BUF634AIDR
1n,"C1,C15",Capacitor_SMD:C_0805_2012Metric,
10n,"C16,C25",Capacitor_SMD:C_0805_2012Metric,
C_Polarized,"C2,C11,C12,C13",Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,603-CC126KKX7R8BB106
100n,"C3,C5,C8,C10,C14,C17,C18,C19,C20,C21,C22,C23,C24",Capacitor_SMD:C_0805_2012Metric,
22u,"C4,C6",Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,710-860010372006
CP,"C7,C9",Capacitor_THT:CP_Radial_D8.0mm_P5.00mm,667-ECA-1CM331B
D,D1,Diode_SMD:D_SMA,
D_TVS,"D2,D6",Diode_SMD:D_SMA,621-SMAJ18CA-13-F
LED,"D3,D4,D5",LED_SMD:LED_1206_3216Metric,
Ferrite_Bead,FB1,Resistor_SMD:R_0805_2012Metric,
MountingHole_Pad,H1,MountingHole:MountingHole_4.3mm_M4_Pad,
MountingHole,"H2,H3,H4",MountingHole:MountingHole_4mm,
Conn_Coaxial,"J1,J2,J3,J4,J5,J6,J7",Connector_Coaxial:BNC_TEConnectivity_1478204_Vertical,571-413631-1
Conn_02x02_Counter_Clockwise,"J10,J12,J13,J14,J15,J16,J17",Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical,855-M20-9980245
Screw_Terminal_01x03,J11,TerminalBlock:TerminalBlock_bornier-3_P5.08mm,
Barrel_Jack_Switch,J8,Connector_BarrelJack:BarrelJack_Horizontal,
USB_B_Micro,J9,Connector_USB:USB_Micro-B_Wuerth_629105150521,710-629105150521
10u,"L1,L2",Inductor_SMD:L_Taiyo-Yuden_NR-60xx_HandSoldering,963-NR6045T100M
1k,"R1,R11,R12,R13,R19,R20,R22",Resistor_SMD:R_1206_3216Metric,
0,R10,Resistor_SMD:R_1206_3216Metric,
50,"R15,R17",Resistor_SMD:R_1206_3216Metric,
10k,"R2,R7,R8,R14,R16,R24",Resistor_SMD:R_1206_3216Metric,284-APC1206B10K0N
DNP,"R3,R4,R21,R23",Resistor_SMD:R_1206_3216Metric,
47,"R5,R6",Resistor_SMD:R_1206_3216Metric,
100,"R9,R18",Resistor_SMD:R_1206_3216Metric,71-TNPW1206100RBYEN
DPUN02L-XX,Reg1,Martinos:SIP-2W-7,709-DPUN02L-05
LM358,"U1,U2",Package_SO:SO-8_3.9x4.9mm_P1.27mm,595-OPA2830IDR
INA129,"U3,U4",Package_DIP:DIP-8_W7.62mm,595-INA121PA
L7805,U5,Package_TO_SOT_THT:TO-220-3_Vertical,
