Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1n","C_0805_2012Metric",94.000000,-64.500000,-90.000000,top
"C2","C_Polarized","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",141.937500,-111.000000,180.000000,top
"C3","100n","C_0805_2012Metric",147.145000,-137.575000,180.000000,top
"C4","1500p","C_0805_2012Metric",110.250000,-127.000000,180.000000,top
"C5","100n","C_0805_2012Metric",97.000000,-116.250000,-90.000000,top
"C6","1500p","C_0805_2012Metric",96.500000,-105.250000,180.000000,top
"C8","100n","C_0805_2012Metric",104.800000,-117.000000,180.000000,top
"C10","100n","C_0805_2012Metric",92.500000,-95.250000,180.000000,top
"C11","C_Polarized","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",107.475000,-64.935000,90.000000,top
"C12","C_Polarized","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",119.537500,-52.000000,0.000000,top
"C13","C_Polarized","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",153.252500,-130.000000,0.000000,top
"C14","100n","C_0805_2012Metric",110.000000,-65.000000,-90.000000,top
"C15","10n","C_0805_2012Metric",94.000000,-55.000000,90.000000,top
"C17","100n","C_0805_2012Metric",131.500000,-101.000000,180.000000,top
"C18","100n","C_0805_2012Metric",145.190000,-127.500000,0.000000,top
"C19","100n","C_0805_2012Metric",120.000000,-56.750000,0.000000,top
"C20","100n","C_0805_2012Metric",111.975000,-65.000000,-90.000000,top
"C21","100n","C_0805_2012Metric",145.190000,-125.500000,0.000000,top
"C22","100n","C_0805_2012Metric",147.190000,-140.000000,180.000000,top
"C23","100n","C_0805_2012Metric",141.000000,-84.500000,0.000000,top
"C24","100n","C_0805_2012Metric",119.975000,-54.500000,0.000000,top
"C26","100n","C_0805_2012Metric",107.750000,-138.000000,180.000000,top
"C27","1000u","CP_Elec_10x10.5",121.250000,-113.300000,-90.000000,top
"C28","1000u","CP_Elec_10x10.5",108.250000,-93.250000,90.000000,top
"C29","1000u","CP_Elec_10x10.5",122.250000,-137.000000,0.000000,top
"D1","1N4148W","D_SOD-123",142.500000,-103.350000,-90.000000,top
"D2","1N4148W","D_SOD-123",133.750000,-133.000000,0.000000,top
"D3","1N4148W","D_SOD-123",134.500000,-114.250000,0.000000,top
"D4","1N5819WS","D_SOD-323",113.250000,-126.500000,90.000000,top
"D5","1N5819WS","D_SOD-323",100.000000,-104.500000,-90.000000,top
"D6","D_TVS","D_SMA",117.500000,-102.250000,0.000000,top
"D7","1N4148W","D_SOD-123",149.250000,-89.750000,180.000000,top
"F1","1A","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",102.737500,-123.000000,0.000000,top
"J2","USB_B_Micro","AMPHENOL_10118194-0001LF",100.250000,-141.000000,0.000000,top
"K1","G6SK-2","RELAY_G6SK-2F DC3_OMR",145.250001,-92.650000,180.000000,top
"K2","G6SK-2","RELAY_G6SK-2F DC3_OMR",137.250000,-130.000000,0.000000,top
"L1","100u","L_Taiyo-Yuden_NR-80xx_HandSoldering",119.250000,-125.550000,90.000000,top
"L2","100u","L_Taiyo-Yuden_NR-80xx_HandSoldering",106.000000,-106.050000,90.000000,top
"L3","10u","L_Taiyo-Yuden_NR-60xx_HandSoldering",110.000000,-119.475000,90.000000,top
"L4","10u","L_Taiyo-Yuden_NR-60xx_HandSoldering",97.750000,-98.225000,90.000000,top
"Q1","IRLML0030","SOT-23",148.250000,-108.500000,180.000000,top
"Q2","IRLML0030","SOT-23",141.000000,-114.500000,-90.000000,top
"Q3","IRLML0030","SOT-23",136.000000,-136.250000,90.000000,top
"Q4","IRLML0030","SOT-23",144.000000,-88.750000,90.000000,top
"Q20","IRLML0030","SOT-23",93.000000,-130.250000,180.000000,top
"Q21","IRLML0030","SOT-23",93.000000,-133.750000,180.000000,top
"Q22","IRLML0030","SOT-23",93.000000,-123.250000,180.000000,top
"Q23","IRLML0030","SOT-23",93.000000,-126.750000,180.000000,top
"R1","1k","R_1206_3216Metric",92.500000,-61.000000,180.000000,top
"R2","10k","R_1206_3216Metric",124.475000,-61.435000,-90.000000,top
"R4","8.2k","R_1206_3216Metric",107.000000,-134.250000,90.000000,top
"R5","0.24","R_1206_3216Metric",112.000000,-137.960000,0.000000,top
"R6","953","R_1206_3216Metric",107.000000,-129.212500,90.000000,top
"R7","10k","R_1206_3216Metric",126.750000,-105.000000,-90.000000,top
"R8","10k","R_1206_3216Metric",133.750000,-96.750000,180.000000,top
"R9","100","R_1206_3216Metric",144.153750,-70.960000,180.000000,top
"R10","0","R_1206_3216Metric",121.975000,-61.435000,-90.000000,top
"R11","8.2k","R_1206_3216Metric",93.750000,-113.250000,90.000000,top
"R12","0.24","R_1206_3216Metric",99.500000,-116.500000,90.000000,top
"R13","953","R_1206_3216Metric",93.750000,-108.537500,90.000000,top
"R14","10k","R_1206_3216Metric",142.500000,-121.212500,-90.000000,top
"R15","180","R_1206_3216Metric",104.500000,-113.000000,0.000000,top
"R16","10k","R_1206_3216Metric",151.190000,-124.000000,0.000000,top
"R17","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",152.250000,-109.500000,0.000000,top
"R18","100","R_1206_3216Metric",140.000000,-121.212500,-90.000000,top
"R19","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.250000,-114.750000,0.000000,top
"R20","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",148.750000,-87.500000,0.000000,top
"R21","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",136.000000,-139.250000,0.000000,top
"R22","1k","R_1206_3216Metric",92.500000,-58.500000,180.000000,top
"R23","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.000000,-131.750000,0.000000,top
"R24","10k","R_1206_3216Metric",144.153750,-68.460000,180.000000,top
"R25","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",93.000000,-136.500000,180.000000,top
"R26","10k","R_1206_3216Metric",134.750000,-80.750000,0.000000,top
"R27","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.250000,-124.500000,0.000000,top
"R28","1k","R_1206_3216Metric",144.227500,-56.735000,180.000000,top
"R29","10k","R_1206_3216Metric",144.302500,-54.235000,180.000000,top
"R30","1k","R_1206_3216Metric",136.000000,-60.500000,180.000000,top
"R31","10k","R_1206_3216Metric",136.000000,-63.500000,0.000000,top
"R32","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.250000,-127.750000,0.000000,top
"R113","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",85.000000,-129.250000,0.000000,top
"R114","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",85.000000,-132.250000,0.000000,top
"R115","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",85.000000,-123.500000,0.000000,top
"R116","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",85.000000,-126.500000,0.000000,top
"U1","ADA4075-2","SO-8_3.9x4.9mm_P1.27mm",116.500000,-60.500000,0.000000,top
"U2","ADA4075-2","SO-8_3.9x4.9mm_P1.27mm",146.095000,-132.575000,-90.000000,top
"U5","MC34063AD","SOIC-8_3.9x4.9mm_P1.27mm",111.500000,-132.000000,-90.000000,top
"U8","MC34063AD","SOIC-8_3.9x4.9mm_P1.27mm",98.000000,-110.250000,-90.000000,top
