Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1n,
C10,0805,1,100n,
C11,1206,1,C_Polarized,
C12,1206,1,C_Polarized,
C13,1206,1,C_Polarized,
C14,0805,1,100n,
C15,0805,1,10n,
"C16, C25",CP_Radial_D8.0mm_P5.00mm,2,CP,
C17,0805,1,100n,
C18,0805,1,100n,
C19,0805,1,100n,
C2,1206,1,C_Polarized,
C20,0805,1,100n,
C21,0805,1,100n,
C22,0805,1,100n,
C23,0805,1,100n,
C24,0805,1,100n,
C26,0805,1,100n,
"C27, C28, C29",CP_Elec_10x10.5,3,1000u,
C3,0805,1,100n,
C4,0805,1,1500p,
C5,0805,1,100n,
C6,0805,1,1500p,
C8,0805,1,100n,
"D1, D2, D3, D7",D_SOD-123,4,1N4148W,
"D14, D15",IC4_WP934EB_2GD_KNB,2,LED_Dual_KAKA,
"D4, D5",D_SOD-323,2,1N5819WS,
D6,D_SMA,1,D_TVS,
F1,1206,1,1A,
H1,MountingHole_4.3mm_M4_Pad,1,MountingHole_Pad,
"H2, H3, H4",MountingHole_4mm,3,MountingHole,
J1,68DsubMaleTE_2-5174225-5,1,5787362-7,
"J15, J18",PinHeader_1x02_P2.54mm_Horizontal,2,Conn_01x02_Male,
"J17, J19, J21",PinHeader_2x02_P2.54mm_Vertical,3,Conn_02x02_Counter_Clockwise,
J2,AMPHENOL_10118194-0001LF,1,USB_B_Micro,
"J20, J4, J5, J6, J7",31-5486-1010 BNC Panel RA,5,Conn_Coaxial,
"J3, J8",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Male,
"K1, K2",RELAY_G6SK-2F DC3_OMR,2,G6SK-2,
"L1, L2",L_Taiyo-Yuden_NR-80xx_HandSoldering,2,100u,
"L3, L4",L_Taiyo-Yuden_NR-60xx_HandSoldering,2,10u,
"Q1, Q2, Q20, Q21, Q22, Q23, Q3, Q4",SOT-23,8,IRLML0030,
R1,1206,1,1k,
R10,1206,1,0,
R11,1206,1,8.2k,
R113,0805,1,1k,
R114,0805,1,1k,
R115,0805,1,1k,
R116,0805,1,1k,
R12,1206,1,0.24,
R13,1206,1,953,
R14,1206,1,10k,
R15,1206,1,180,
R16,1206,1,10k,
R17,0805,1,10k,
R18,1206,1,100,
R19,0805,1,10k,
R2,1206,1,10k,
R20,0805,1,10k,
R21,0805,1,10k,
R22,1206,1,1k,
R23,0805,1,10k,
R24,1206,1,10k,
R25,0805,1,10k,
R26,1206,1,10k,
R27,0805,1,10k,
R28,1206,1,1k,
R29,1206,1,10k,
R30,1206,1,1k,
R31,1206,1,10k,
R32,0805,1,10k,
R4,1206,1,8.2k,
R5,1206,1,0.24,
R6,1206,1,953,
R7,1206,1,10k,
R8,1206,1,10k,
R9,1206,1,100,
"TP1, TP2",TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,2,TestPoint,
"U1, U2",SO-8_3.9x4.9mm_P1.27mm,2,ADA4075-2,
"U3, U4, U6, U7",DIP-8_W7.62mm,4,INA129,
"U5, U8",SOIC-8_3.9x4.9mm_P1.27mm,2,MC34063AD,
