Designator,Mid X,Mid Y,Rotation,Layer
C1,94.0,-64.5,270.0,top
C10,92.5,-95.25,180.0,top
C11,107.475,-64.935,90.0,top
C12,119.5375,-52.0,0.0,top
C13,153.2525,-130.0,0.0,top
C14,110.0,-65.0,270.0,top
C15,94.0,-55.0,90.0,top
C16,109.0,-50.0,0.0,top
C17,131.5,-101.0,180.0,top
C18,145.19,-127.5,0.0,top
C19,120.0,-56.75,0.0,top
C2,141.9375,-111.0,180.0,top
C20,111.975,-65.0,270.0,top
C21,145.19,-125.5,0.0,top
C22,147.19,-140.0,180.0,top
C23,141.0,-84.5,0.0,top
C24,119.975,-54.5,0.0,top
C25,99.26,-50.0,0.0,top
C26,107.75,-138.0,180.0,top
C27,121.25,-113.3,270.0,top
C28,108.25,-93.25,90.0,top
C29,122.25,-137.0,0.0,top
C3,147.145,-137.575,180.0,top
C4,110.25,-127.0,180.0,top
C5,97.0,-116.25,270.0,top
C6,96.5,-105.25,180.0,top
C8,104.8,-117.0,180.0,top
D1,142.5,-103.35,270.0,top
D14,81.0553,-131.9866,270.0,top
D15,81.0553,-126.2366,270.0,top
D2,133.75,-133.0,0.0,top
D3,134.5,-114.25,0.0,top
D4,113.25,-126.5,90.0,top
D5,100.0,-104.5,270.0,top
D6,117.5,-102.25,0.0,top
D7,149.25,-89.75,180.0,top
F1,102.7375,-123.0,0.0,top
J1,75.705,-84.985,270.0,top
J15,166.875,-78.475,0.0,top
J17,148.65375,-70.96,90.0,top
J18,166.475,-122.725,0.0,top
J19,148.725,-56.775,90.0,top
J2,100.25,-141.0,0.0,top
J20,161.0,-47.95,270.0,top
J21,131.5,-60.5,270.0,top
J3,102.5,-131.0,180.0,top
J4,160.924991,-90.699991,270.0,top
J5,161.0,-112.925,270.0,top
J6,160.924991,-68.475,270.0,top
J7,160.75,-135.15,270.0,top
J8,93.0,-117.5,270.0,top
K1,145.250001,-92.65,180.0,top
K2,137.25,-130.0,0.0,top
L1,119.25,-125.55,90.0,top
L2,106.0,-106.05,90.0,top
L3,110.0,-119.475,90.0,top
L4,97.75,-98.225,90.0,top
Q1,148.25,-108.5,180.0,top
Q2,141.0,-114.5,270.0,top
Q20,93.0,-130.25,180.0,top
Q21,93.0,-133.75,180.0,top
Q22,93.0,-123.25,180.0,top
Q23,93.0,-126.75,180.0,top
Q3,136.0,-136.25,90.0,top
Q4,144.0,-88.75,90.0,top
R1,92.5,-61.0,180.0,top
R10,121.975,-61.435,270.0,top
R11,93.75,-113.25,90.0,top
R113,85.0,-129.25,0.0,top
R114,85.0,-132.25,0.0,top
R115,85.0,-123.5,0.0,top
R116,85.0,-126.5,0.0,top
R12,99.5,-116.5,90.0,top
R13,93.75,-108.5375,90.0,top
R14,142.5,-121.2125,270.0,top
R15,104.5,-113.0,0.0,top
R16,151.19,-124.0,0.0,top
R17,152.25,-109.5,0.0,top
R18,140.0,-121.2125,270.0,top
R19,146.25,-114.75,0.0,top
R2,124.475,-61.435,270.0,top
R20,148.75,-87.5,0.0,top
R21,136.0,-139.25,0.0,top
R22,92.5,-58.5,180.0,top
R23,97.0,-131.75,0.0,top
R24,144.15375,-68.46,180.0,top
R25,93.0,-136.5,180.0,top
R26,134.75,-80.75,0.0,top
R27,97.25,-124.5,0.0,top
R28,144.2275,-56.735,180.0,top
R29,144.3025,-54.235,180.0,top
R30,136.0,-60.5,180.0,top
R31,136.0,-63.5,0.0,top
R32,97.25,-127.75,0.0,top
R4,107.0,-134.25,90.0,top
R5,112.0,-137.96,0.0,top
R6,107.0,-129.2125,90.0,top
R7,126.75,-105.0,270.0,top
R8,133.75,-96.75,180.0,top
R9,144.15375,-70.96,180.0,top
U1,116.5,-60.5,0.0,top
U2,146.095,-132.575,270.0,top
U3,129.7,-111.0,90.0,top
U4,137.5,-93.75,180.0,top
U5,111.5,-132.0,270.0,top
U6,138.25,-77.75,180.0,top
U7,136.525,-57.075,180.0,top
U8,98.0,-110.25,270.0,top
